item,stim_classname,directness,condition,context,target,subject1,object1,object2,subject2,year
80,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a mug. Donald Trump said they would prefer a mug.,Donald Trump valued a mug more than a thermos.,Donald Trump,a thermos,a mug,Dad,
80,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a mug. Donald Trump said they would prefer a thermos.,Donald Trump valued a mug more than a thermos.,Donald Trump,a thermos,a mug,Dad,
80,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a mug. Donald Trump said they would prefer a mug.,Donald Trump valued a thermos more than a mug.,Donald Trump,a thermos,a mug,Dad,
81,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a watch. Donald Trump said they would prefer a thermos.,Donald Trump valued a thermos more than a watch.,Donald Trump,a thermos,a watch,Dad,
81,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a watch. Donald Trump said they would prefer a watch.,Donald Trump valued a watch more than a thermos.,Donald Trump,a thermos,a watch,Dad,
81,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a watch. Donald Trump said they would prefer a thermos.,Donald Trump valued a watch more than a thermos.,Donald Trump,a thermos,a watch,Dad,
81,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a watch. Donald Trump said they would prefer a watch.,Donald Trump valued a thermos more than a watch.,Donald Trump,a thermos,a watch,Dad,
82,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a dax. Donald Trump said they would prefer a thermos.,Donald Trump valued a thermos more than a dax.,Donald Trump,a thermos,a dax,Dad,
82,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a dax more than a thermos.,Donald Trump,a thermos,a dax,Dad,
82,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a dax. Donald Trump said they would prefer a thermos.,Donald Trump valued a dax more than a thermos.,Donald Trump,a thermos,a dax,Dad,
82,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a thermos more than a dax.,Donald Trump,a thermos,a dax,Dad,
83,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a blicket. Donald Trump said they would prefer a thermos.,Donald Trump valued a thermos more than a blicket.,Donald Trump,a thermos,a blicket,Dad,
83,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a blicket more than a thermos.,Donald Trump,a thermos,a blicket,Dad,
83,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a blicket. Donald Trump said they would prefer a thermos.,Donald Trump valued a blicket more than a thermos.,Donald Trump,a thermos,a blicket,Dad,
83,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a thermos or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a thermos more than a blicket.,Donald Trump,a thermos,a blicket,Dad,
84,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a watch. Donald Trump said they would prefer a mug.,Donald Trump valued a mug more than a watch.,Donald Trump,a mug,a watch,Dad,
84,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a watch. Donald Trump said they would prefer a watch.,Donald Trump valued a watch more than a mug.,Donald Trump,a mug,a watch,Dad,
84,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a watch. Donald Trump said they would prefer a mug.,Donald Trump valued a watch more than a mug.,Donald Trump,a mug,a watch,Dad,
84,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a watch. Donald Trump said they would prefer a watch.,Donald Trump valued a mug more than a watch.,Donald Trump,a mug,a watch,Dad,
85,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a dax. Donald Trump said they would prefer a mug.,Donald Trump valued a mug more than a dax.,Donald Trump,a mug,a dax,Dad,
85,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a dax more than a mug.,Donald Trump,a mug,a dax,Dad,
85,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a dax. Donald Trump said they would prefer a mug.,Donald Trump valued a dax more than a mug.,Donald Trump,a mug,a dax,Dad,
85,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a mug more than a dax.,Donald Trump,a mug,a dax,Dad,
86,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a blicket. Donald Trump said they would prefer a mug.,Donald Trump valued a mug more than a blicket.,Donald Trump,a mug,a blicket,Dad,
86,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a mug or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a blicket more than a mug.,Donald Trump,a mug,a blicket,Dad,
86,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a blicket. Donald Trump said they would prefer a mug.,Donald Trump valued a blicket more than a mug.,Donald Trump,a mug,a blicket,Dad,
86,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a mug or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a mug more than a blicket.,Donald Trump,a mug,a blicket,Dad,
87,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a watch or a dax. Donald Trump said they would prefer a watch.,Donald Trump valued a watch more than a dax.,Donald Trump,a watch,a dax,Dad,
87,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a watch or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a dax more than a watch.,Donald Trump,a watch,a dax,Dad,
87,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a watch or a dax. Donald Trump said they would prefer a watch.,Donald Trump valued a dax more than a watch.,Donald Trump,a watch,a dax,Dad,
87,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a watch or a dax. Donald Trump said they would prefer a dax.,Donald Trump valued a watch more than a dax.,Donald Trump,a watch,a dax,Dad,
88,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a watch or a blicket. Donald Trump said they would prefer a watch.,Donald Trump valued a watch more than a blicket.,Donald Trump,a watch,a blicket,Dad,
88,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a watch or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a blicket more than a watch.,Donald Trump,a watch,a blicket,Dad,
88,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a watch or a blicket. Donald Trump said they would prefer a watch.,Donald Trump valued a blicket more than a watch.,Donald Trump,a watch,a blicket,Dad,
88,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a watch or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a watch more than a blicket.,Donald Trump,a watch,a blicket,Dad,
89,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a dax or a blicket. Donald Trump said they would prefer a dax.,Donald Trump valued a dax more than a blicket.,Donald Trump,a dax,a blicket,Dad,
89,value_subjective,direct,congruent,Dad asked Donald Trump whether they would prefer to receive a dax or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a blicket more than a dax.,Donald Trump,a dax,a blicket,Dad,
89,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a dax or a blicket. Donald Trump said they would prefer a dax.,Donald Trump valued a blicket more than a dax.,Donald Trump,a dax,a blicket,Dad,
89,value_subjective,direct,incongruent,Dad asked Donald Trump whether they would prefer to receive a dax or a blicket. Donald Trump said they would prefer a blicket.,Donald Trump valued a dax more than a blicket.,Donald Trump,a dax,a blicket,Dad,
90,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a mug. Mom said they would prefer a thermos.,Mom valued a thermos more than a mug.,Mom,a thermos,a mug,Dad,
90,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a mug. Mom said they would prefer a mug.,Mom valued a mug more than a thermos.,Mom,a thermos,a mug,Dad,
90,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a mug. Mom said they would prefer a thermos.,Mom valued a mug more than a thermos.,Mom,a thermos,a mug,Dad,
90,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a mug. Mom said they would prefer a mug.,Mom valued a thermos more than a mug.,Mom,a thermos,a mug,Dad,
91,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a watch. Mom said they would prefer a thermos.,Mom valued a thermos more than a watch.,Mom,a thermos,a watch,Dad,
91,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a watch. Mom said they would prefer a watch.,Mom valued a watch more than a thermos.,Mom,a thermos,a watch,Dad,
91,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a watch. Mom said they would prefer a thermos.,Mom valued a watch more than a thermos.,Mom,a thermos,a watch,Dad,
91,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a watch. Mom said they would prefer a watch.,Mom valued a thermos more than a watch.,Mom,a thermos,a watch,Dad,
92,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a dax. Mom said they would prefer a thermos.,Mom valued a thermos more than a dax.,Mom,a thermos,a dax,Dad,
92,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a dax. Mom said they would prefer a dax.,Mom valued a dax more than a thermos.,Mom,a thermos,a dax,Dad,
92,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a dax. Mom said they would prefer a thermos.,Mom valued a dax more than a thermos.,Mom,a thermos,a dax,Dad,
92,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a dax. Mom said they would prefer a dax.,Mom valued a thermos more than a dax.,Mom,a thermos,a dax,Dad,
93,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a blicket. Mom said they would prefer a thermos.,Mom valued a thermos more than a blicket.,Mom,a thermos,a blicket,Dad,
93,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a thermos or a blicket. Mom said they would prefer a blicket.,Mom valued a blicket more than a thermos.,Mom,a thermos,a blicket,Dad,
93,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a blicket. Mom said they would prefer a thermos.,Mom valued a blicket more than a thermos.,Mom,a thermos,a blicket,Dad,
93,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a thermos or a blicket. Mom said they would prefer a blicket.,Mom valued a thermos more than a blicket.,Mom,a thermos,a blicket,Dad,
94,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a watch. Mom said they would prefer a mug.,Mom valued a mug more than a watch.,Mom,a mug,a watch,Dad,
94,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a watch. Mom said they would prefer a watch.,Mom valued a watch more than a mug.,Mom,a mug,a watch,Dad,
94,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a watch. Mom said they would prefer a mug.,Mom valued a watch more than a mug.,Mom,a mug,a watch,Dad,
94,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a watch. Mom said they would prefer a watch.,Mom valued a mug more than a watch.,Mom,a mug,a watch,Dad,
95,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a dax. Mom said they would prefer a mug.,Mom valued a mug more than a dax.,Mom,a mug,a dax,Dad,
95,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a dax. Mom said they would prefer a dax.,Mom valued a dax more than a mug.,Mom,a mug,a dax,Dad,
95,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a dax. Mom said they would prefer a mug.,Mom valued a dax more than a mug.,Mom,a mug,a dax,Dad,
95,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a dax. Mom said they would prefer a dax.,Mom valued a mug more than a dax.,Mom,a mug,a dax,Dad,
96,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a blicket. Mom said they would prefer a mug.,Mom valued a mug more than a blicket.,Mom,a mug,a blicket,Dad,
96,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a mug or a blicket. Mom said they would prefer a blicket.,Mom valued a blicket more than a mug.,Mom,a mug,a blicket,Dad,
96,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a blicket. Mom said they would prefer a mug.,Mom valued a blicket more than a mug.,Mom,a mug,a blicket,Dad,
96,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a mug or a blicket. Mom said they would prefer a blicket.,Mom valued a mug more than a blicket.,Mom,a mug,a blicket,Dad,
97,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a watch or a dax. Mom said they would prefer a watch.,Mom valued a watch more than a dax.,Mom,a watch,a dax,Dad,
97,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a watch or a dax. Mom said they would prefer a dax.,Mom valued a dax more than a watch.,Mom,a watch,a dax,Dad,
97,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a watch or a dax. Mom said they would prefer a watch.,Mom valued a dax more than a watch.,Mom,a watch,a dax,Dad,
97,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a watch or a dax. Mom said they would prefer a dax.,Mom valued a watch more than a dax.,Mom,a watch,a dax,Dad,
98,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a watch or a blicket. Mom said they would prefer a watch.,Mom valued a watch more than a blicket.,Mom,a watch,a blicket,Dad,
98,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a watch or a blicket. Mom said they would prefer a blicket.,Mom valued a blicket more than a watch.,Mom,a watch,a blicket,Dad,
98,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a watch or a blicket. Mom said they would prefer a watch.,Mom valued a blicket more than a watch.,Mom,a watch,a blicket,Dad,
98,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a watch or a blicket. Mom said they would prefer a blicket.,Mom valued a watch more than a blicket.,Mom,a watch,a blicket,Dad,
99,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a dax or a blicket. Mom said they would prefer a dax.,Mom valued a dax more than a blicket.,Mom,a dax,a blicket,Dad,
99,value_subjective,direct,congruent,Dad asked Mom whether they would prefer to receive a dax or a blicket. Mom said they would prefer a blicket.,Mom valued a blicket more than a dax.,Mom,a dax,a blicket,Dad,
99,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a dax or a blicket. Mom said they would prefer a dax.,Mom valued a blicket more than a dax.,Mom,a dax,a blicket,Dad,
99,value_subjective,direct,incongruent,Dad asked Mom whether they would prefer to receive a dax or a blicket. Mom said they would prefer a blicket.,Mom valued a dax more than a blicket.,Mom,a dax,a blicket,Dad,
0,ownership,indirect,congruent,Alice tends to describe the car as 'my car'.,Alice owns the car,Alice,car,,,
0,ownership,indirect,congruent,Alice does not typically describe the car as 'my car'.,Alice doesn't own the car.,Alice,car,,,
0,ownership,indirect,incongruent,Alice tends to describe the car as 'my car'.,Alice doesn't own the car.,Alice,car,,,
0,ownership,indirect,incongruent,Alice does not typically describe the car as 'my car'.,Alice owns the car,Alice,car,,,
1,ownership,indirect,congruent,Alice tends to describe the house as 'my house'.,Alice owns the house,Alice,house,,,
1,ownership,indirect,congruent,Alice does not typically describe the house as 'my house'.,Alice doesn't own the house.,Alice,house,,,
1,ownership,indirect,incongruent,Alice tends to describe the house as 'my house'.,Alice doesn't own the house.,Alice,house,,,
1,ownership,indirect,incongruent,Alice does not typically describe the house as 'my house'.,Alice owns the house,Alice,house,,,
2,ownership,indirect,congruent,Alice tends to describe the computer as 'my computer'.,Alice owns the computer,Alice,computer,,,
2,ownership,indirect,congruent,Alice does not typically describe the computer as 'my computer'.,Alice doesn't own the computer.,Alice,computer,,,
2,ownership,indirect,incongruent,Alice tends to describe the computer as 'my computer'.,Alice doesn't own the computer.,Alice,computer,,,
2,ownership,indirect,incongruent,Alice does not typically describe the computer as 'my computer'.,Alice owns the computer,Alice,computer,,,
3,ownership,indirect,congruent,Alice tends to describe the dax as 'my dax'.,Alice owns the dax,Alice,dax,,,
3,ownership,indirect,congruent,Alice does not typically describe the dax as 'my dax'.,Alice doesn't own the dax.,Alice,dax,,,
3,ownership,indirect,incongruent,Alice tends to describe the dax as 'my dax'.,Alice doesn't own the dax.,Alice,dax,,,
3,ownership,indirect,incongruent,Alice does not typically describe the dax as 'my dax'.,Alice owns the dax,Alice,dax,,,
4,ownership,indirect,congruent,Alice tends to describe the blicket as 'my blicket'.,Alice owns the blicket,Alice,blicket,,,
4,ownership,indirect,congruent,Alice does not typically describe the blicket as 'my blicket'.,Alice doesn't own the blicket.,Alice,blicket,,,
4,ownership,indirect,incongruent,Alice tends to describe the blicket as 'my blicket'.,Alice doesn't own the blicket.,Alice,blicket,,,
4,ownership,indirect,incongruent,Alice does not typically describe the blicket as 'my blicket'.,Alice owns the blicket,Alice,blicket,,,
5,ownership,indirect,congruent,Barack Obama tends to describe the car as 'my car'.,Barack Obama owns the car,Barack Obama,car,,,
5,ownership,indirect,congruent,Barack Obama does not typically describe the car as 'my car'.,Barack Obama doesn't own the car.,Barack Obama,car,,,
5,ownership,indirect,incongruent,Barack Obama tends to describe the car as 'my car'.,Barack Obama doesn't own the car.,Barack Obama,car,,,
5,ownership,indirect,incongruent,Barack Obama does not typically describe the car as 'my car'.,Barack Obama owns the car,Barack Obama,car,,,
6,ownership,indirect,congruent,Barack Obama tends to describe the house as 'my house'.,Barack Obama owns the house,Barack Obama,house,,,
6,ownership,indirect,congruent,Barack Obama does not typically describe the house as 'my house'.,Barack Obama doesn't own the house.,Barack Obama,house,,,
6,ownership,indirect,incongruent,Barack Obama tends to describe the house as 'my house'.,Barack Obama doesn't own the house.,Barack Obama,house,,,
6,ownership,indirect,incongruent,Barack Obama does not typically describe the house as 'my house'.,Barack Obama owns the house,Barack Obama,house,,,
7,ownership,indirect,congruent,Barack Obama tends to describe the computer as 'my computer'.,Barack Obama owns the computer,Barack Obama,computer,,,
7,ownership,indirect,congruent,Barack Obama does not typically describe the computer as 'my computer'.,Barack Obama doesn't own the computer.,Barack Obama,computer,,,
7,ownership,indirect,incongruent,Barack Obama tends to describe the computer as 'my computer'.,Barack Obama doesn't own the computer.,Barack Obama,computer,,,
7,ownership,indirect,incongruent,Barack Obama does not typically describe the computer as 'my computer'.,Barack Obama owns the computer,Barack Obama,computer,,,
8,ownership,indirect,congruent,Barack Obama tends to describe the dax as 'my dax'.,Barack Obama owns the dax,Barack Obama,dax,,,
8,ownership,indirect,congruent,Barack Obama does not typically describe the dax as 'my dax'.,Barack Obama doesn't own the dax.,Barack Obama,dax,,,
8,ownership,indirect,incongruent,Barack Obama tends to describe the dax as 'my dax'.,Barack Obama doesn't own the dax.,Barack Obama,dax,,,
8,ownership,indirect,incongruent,Barack Obama does not typically describe the dax as 'my dax'.,Barack Obama owns the dax,Barack Obama,dax,,,
9,ownership,indirect,congruent,Barack Obama tends to describe the blicket as 'my blicket'.,Barack Obama owns the blicket,Barack Obama,blicket,,,
9,ownership,indirect,congruent,Barack Obama does not typically describe the blicket as 'my blicket'.,Barack Obama doesn't own the blicket.,Barack Obama,blicket,,,
9,ownership,indirect,incongruent,Barack Obama tends to describe the blicket as 'my blicket'.,Barack Obama doesn't own the blicket.,Barack Obama,blicket,,,
9,ownership,indirect,incongruent,Barack Obama does not typically describe the blicket as 'my blicket'.,Barack Obama owns the blicket,Barack Obama,blicket,,,
10,ownership,indirect,congruent,Donald Trump tends to describe the car as 'my car'.,Donald Trump owns the car,Donald Trump,car,,,
10,ownership,indirect,congruent,Donald Trump does not typically describe the car as 'my car'.,Donald Trump doesn't own the car.,Donald Trump,car,,,
10,ownership,indirect,incongruent,Donald Trump tends to describe the car as 'my car'.,Donald Trump doesn't own the car.,Donald Trump,car,,,
10,ownership,indirect,incongruent,Donald Trump does not typically describe the car as 'my car'.,Donald Trump owns the car,Donald Trump,car,,,
11,ownership,indirect,congruent,Donald Trump tends to describe the house as 'my house'.,Donald Trump owns the house,Donald Trump,house,,,
11,ownership,indirect,congruent,Donald Trump does not typically describe the house as 'my house'.,Donald Trump doesn't own the house.,Donald Trump,house,,,
11,ownership,indirect,incongruent,Donald Trump tends to describe the house as 'my house'.,Donald Trump doesn't own the house.,Donald Trump,house,,,
11,ownership,indirect,incongruent,Donald Trump does not typically describe the house as 'my house'.,Donald Trump owns the house,Donald Trump,house,,,
12,ownership,indirect,congruent,Donald Trump tends to describe the computer as 'my computer'.,Donald Trump owns the computer,Donald Trump,computer,,,
12,ownership,indirect,congruent,Donald Trump does not typically describe the computer as 'my computer'.,Donald Trump doesn't own the computer.,Donald Trump,computer,,,
12,ownership,indirect,incongruent,Donald Trump tends to describe the computer as 'my computer'.,Donald Trump doesn't own the computer.,Donald Trump,computer,,,
12,ownership,indirect,incongruent,Donald Trump does not typically describe the computer as 'my computer'.,Donald Trump owns the computer,Donald Trump,computer,,,
13,ownership,indirect,congruent,Donald Trump tends to describe the dax as 'my dax'.,Donald Trump owns the dax,Donald Trump,dax,,,
13,ownership,indirect,congruent,Donald Trump does not typically describe the dax as 'my dax'.,Donald Trump doesn't own the dax.,Donald Trump,dax,,,
13,ownership,indirect,incongruent,Donald Trump tends to describe the dax as 'my dax'.,Donald Trump doesn't own the dax.,Donald Trump,dax,,,
13,ownership,indirect,incongruent,Donald Trump does not typically describe the dax as 'my dax'.,Donald Trump owns the dax,Donald Trump,dax,,,
14,ownership,indirect,congruent,Donald Trump tends to describe the blicket as 'my blicket'.,Donald Trump owns the blicket,Donald Trump,blicket,,,
14,ownership,indirect,congruent,Donald Trump does not typically describe the blicket as 'my blicket'.,Donald Trump doesn't own the blicket.,Donald Trump,blicket,,,
14,ownership,indirect,incongruent,Donald Trump tends to describe the blicket as 'my blicket'.,Donald Trump doesn't own the blicket.,Donald Trump,blicket,,,
14,ownership,indirect,incongruent,Donald Trump does not typically describe the blicket as 'my blicket'.,Donald Trump owns the blicket,Donald Trump,blicket,,,
15,ownership,indirect,congruent,Mom tends to describe the car as 'my car'.,Mom owns the car,Mom,car,,,
15,ownership,indirect,congruent,Mom does not typically describe the car as 'my car'.,Mom doesn't own the car.,Mom,car,,,
15,ownership,indirect,incongruent,Mom tends to describe the car as 'my car'.,Mom doesn't own the car.,Mom,car,,,
15,ownership,indirect,incongruent,Mom does not typically describe the car as 'my car'.,Mom owns the car,Mom,car,,,
16,ownership,indirect,congruent,Mom tends to describe the house as 'my house'.,Mom owns the house,Mom,house,,,
16,ownership,indirect,congruent,Mom does not typically describe the house as 'my house'.,Mom doesn't own the house.,Mom,house,,,
16,ownership,indirect,incongruent,Mom tends to describe the house as 'my house'.,Mom doesn't own the house.,Mom,house,,,
16,ownership,indirect,incongruent,Mom does not typically describe the house as 'my house'.,Mom owns the house,Mom,house,,,
17,ownership,indirect,congruent,Mom tends to describe the computer as 'my computer'.,Mom owns the computer,Mom,computer,,,
17,ownership,indirect,congruent,Mom does not typically describe the computer as 'my computer'.,Mom doesn't own the computer.,Mom,computer,,,
17,ownership,indirect,incongruent,Mom tends to describe the computer as 'my computer'.,Mom doesn't own the computer.,Mom,computer,,,
17,ownership,indirect,incongruent,Mom does not typically describe the computer as 'my computer'.,Mom owns the computer,Mom,computer,,,
18,ownership,indirect,congruent,Mom tends to describe the dax as 'my dax'.,Mom owns the dax,Mom,dax,,,
18,ownership,indirect,congruent,Mom does not typically describe the dax as 'my dax'.,Mom doesn't own the dax.,Mom,dax,,,
18,ownership,indirect,incongruent,Mom tends to describe the dax as 'my dax'.,Mom doesn't own the dax.,Mom,dax,,,
18,ownership,indirect,incongruent,Mom does not typically describe the dax as 'my dax'.,Mom owns the dax,Mom,dax,,,
19,ownership,indirect,congruent,Mom tends to describe the blicket as 'my blicket'.,Mom owns the blicket,Mom,blicket,,,
19,ownership,indirect,congruent,Mom does not typically describe the blicket as 'my blicket'.,Mom doesn't own the blicket.,Mom,blicket,,,
19,ownership,indirect,incongruent,Mom tends to describe the blicket as 'my blicket'.,Mom doesn't own the blicket.,Mom,blicket,,,
19,ownership,indirect,incongruent,Mom does not typically describe the blicket as 'my blicket'.,Mom owns the blicket,Mom,blicket,,,
20,ownership,indirect,congruent,Dad tends to describe the car as 'my car'.,Dad owns the car,Dad,car,,,
20,ownership,indirect,congruent,Dad does not typically describe the car as 'my car'.,Dad doesn't own the car.,Dad,car,,,
20,ownership,indirect,incongruent,Dad tends to describe the car as 'my car'.,Dad doesn't own the car.,Dad,car,,,
20,ownership,indirect,incongruent,Dad does not typically describe the car as 'my car'.,Dad owns the car,Dad,car,,,
21,ownership,indirect,congruent,Dad tends to describe the house as 'my house'.,Dad owns the house,Dad,house,,,
21,ownership,indirect,congruent,Dad does not typically describe the house as 'my house'.,Dad doesn't own the house.,Dad,house,,,
21,ownership,indirect,incongruent,Dad tends to describe the house as 'my house'.,Dad doesn't own the house.,Dad,house,,,
21,ownership,indirect,incongruent,Dad does not typically describe the house as 'my house'.,Dad owns the house,Dad,house,,,
22,ownership,indirect,congruent,Dad tends to describe the computer as 'my computer'.,Dad owns the computer,Dad,computer,,,
22,ownership,indirect,congruent,Dad does not typically describe the computer as 'my computer'.,Dad doesn't own the computer.,Dad,computer,,,
22,ownership,indirect,incongruent,Dad tends to describe the computer as 'my computer'.,Dad doesn't own the computer.,Dad,computer,,,
22,ownership,indirect,incongruent,Dad does not typically describe the computer as 'my computer'.,Dad owns the computer,Dad,computer,,,
23,ownership,indirect,congruent,Dad tends to describe the dax as 'my dax'.,Dad owns the dax,Dad,dax,,,
23,ownership,indirect,congruent,Dad does not typically describe the dax as 'my dax'.,Dad doesn't own the dax.,Dad,dax,,,
23,ownership,indirect,incongruent,Dad tends to describe the dax as 'my dax'.,Dad doesn't own the dax.,Dad,dax,,,
23,ownership,indirect,incongruent,Dad does not typically describe the dax as 'my dax'.,Dad owns the dax,Dad,dax,,,
24,ownership,indirect,congruent,Dad tends to describe the blicket as 'my blicket'.,Dad owns the blicket,Dad,blicket,,,
24,ownership,indirect,congruent,Dad does not typically describe the blicket as 'my blicket'.,Dad doesn't own the blicket.,Dad,blicket,,,
24,ownership,indirect,incongruent,Dad tends to describe the blicket as 'my blicket'.,Dad doesn't own the blicket.,Dad,blicket,,,
24,ownership,indirect,incongruent,Dad does not typically describe the blicket as 'my blicket'.,Dad owns the blicket,Dad,blicket,,,
0,ownership,direct,congruent,Alice has the right to sell the car.,Alice owns the car,Alice,car,,,
0,ownership,direct,congruent,Alice has the right to buy the car.,Alice doesn't own the car.,Alice,car,,,
0,ownership,direct,incongruent,Alice has the right to sell the car.,Alice doesn't own the car.,Alice,car,,,
0,ownership,direct,incongruent,Alice has the right to buy the car.,Alice owns the car,Alice,car,,,
1,ownership,direct,congruent,Alice has the right to sell the house.,Alice owns the house,Alice,house,,,
1,ownership,direct,congruent,Alice has the right to buy the house.,Alice doesn't own the house.,Alice,house,,,
1,ownership,direct,incongruent,Alice has the right to sell the house.,Alice doesn't own the house.,Alice,house,,,
1,ownership,direct,incongruent,Alice has the right to buy the house.,Alice owns the house,Alice,house,,,
2,ownership,direct,congruent,Alice has the right to sell the computer.,Alice owns the computer,Alice,computer,,,
2,ownership,direct,congruent,Alice has the right to buy the computer.,Alice doesn't own the computer.,Alice,computer,,,
